epoch,accuracy,loss,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy
0,0.12713630497455597,5.128764629364014,0.33597332239151,0.1847507357597351,2.3920226097106934,0.44086021184921265
Stage2-FineTune,6,0.7770,0.8554,0.9335,0.9179,0.9937,0.9873,4.92e-05
Stage2-FineTune,7,0.7531,0.8283,0.9448,0.9228,0.9956,0.9892,4.86e-05
Stage2-FineTune,8,0.7310,0.8328,0.9516,0.9296,0.9956,0.9873,4.78e-05
Stage2-FineTune,9,0.7147,0.8156,0.9594,0.9286,0.9975,0.9844,4.68e-05
Stage2-FineTune,10,0.6999,0.8109,0.9681,0.9316,0.9975,0.9883,4.57e-05
Stage2-FineTune,11,0.6909,0.8224,0.9712,0.9179,0.9971,0.9873,4.45e-05
Stage2-FineTune,12,0.6778,0.8161,0.9742,0.9277,0.9985,0.9853,4.30e-05
Stage2-FineTune,13,0.6722,0.8110,0.9777,0.9306,0.9975,0.9863,4.15e-05
Stage2-FineTune,14,0.6645,0.8095,0.9760,0.9316,0.9985,0.9863,3.99e-05
Stage2-FineTune,15,0.6559,0.8045,0.9815,0.9345,0.9994,0.9883,3.81e-05
Stage2-FineTune,16,0.6553,0.8138,0.9810,0.9326,0.9985,0.9824,3.63e-05
Stage2-FineTune,17,0.6509,0.8068,0.9810,0.9345,0.9979,0.9844,3.43e-05
Stage2-FineTune,18,0.6425,0.8116,0.9858,0.9306,0.9987,0.9853,3.23e-05
Stage2-FineTune,19,0.6407,0.8250,0.9856,0.9218,0.9985,0.9804,3.03e-05
Stage2-FineTune,20,0.6325,0.8133,0.9890,0.9267,0.9992,0.9834,2.82e-05
Stage2-FineTune,21,0.6320,0.8108,0.9881,0.9345,0.9994,0.9804,2.61e-05
Stage2-FineTune,22,0.6301,0.8164,0.9896,0.9306,0.9992,0.9814,2.39e-05
Stage2-FineTune,23,0.6302,0.8236,0.9896,0.9316,0.9990,0.9775,2.18e-05
Stage2-FineTune,24,0.6278,0.8072,0.9885,0.9335,0.9990,0.9795,1.97e-05
Stage2-FineTune,25,0.6235,0.8193,0.9925,0.9355,0.9992,0.9736,1.77e-05
Stage2-FineTune,26,0.6215,0.8085,0.9923,0.9286,0.9990,0.9795,1.57e-05
Stage2-FineTune,27,0.6222,0.8131,0.9917,0.9316,0.9987,0.9785,1.37e-05
Stage2-FineTune,28,0.6201,0.8251,0.9921,0.9306,0.9998,0.9756,1.19e-05
Stage2-FineTune,29,0.6167,0.8197,0.9929,0.9316,0.9996,0.9765,1.01e-05
Stage2-FineTune,30,0.6203,0.8101,0.9925,0.9355,0.9987,0.9795,8.48e-06
Stage2-FineTune,31,0.6149,0.8128,0.9937,0.9355,0.9998,0.9765,6.95e-06
Stage2-FineTune,32,0.6158,0.8160,0.9925,0.9335,0.9998,0.9785,5.55e-06
Stage2-FineTune,33,0.6113,0.8187,0.9950,0.9335,0.9998,0.9785,4.29e-06
Stage2-FineTune,34,0.6125,0.8111,0.9948,0.9335,0.9998,0.9765,3.17e-06
Stage2-FineTune,35,0.6141,0.8090,0.9937,0.9335,0.9996,0.9775,2.22e-06
